App,Category,Type,Content Rating,Genres,Price
Sad Poetry Photo Frames 2018,0.9,0.0,0.0,0.3,0.0
Textgram - write on photos,0.9,0.0,0.0,0.3,0.0
Popsicle Sticks and Similar DIY Craft Ideas,0.9,0.0,0.0,0.3,0.0
"Canva: Poster, banner, card maker & graphic design",0.9,0.0,0.0,0.3,0.0
Install images with music to make video without Net - 2018,0.9,0.0,0.0,0.3,0.0
Little Teddy Bear Colouring Book Game,0.9,0.0,0.0,0.3,0.0
How To Draw Food,0.9,0.0,0.0,0.3,0.0
Monster Truck Stunt 3D 2019,0.74,0.0,0.0,0.25,0.0
Real Tractor Farming,0.74,0.0,0.0,0.25,0.0
Ultimate F1 Racing Championship,0.74,0.0,0.0,0.25,0.0
Used Cars and Trucks for Sale,0.74,0.0,0.0,0.25,0.0
American Muscle Car Race,0.74,0.0,0.0,0.25,0.0
Offroad Oil Tanker Driver Transport Truck 2019,0.74,0.0,0.0,0.25,0.0
Tickets SDA 2018 and Exam from the State Traffic Safety Inspectorate with Drom.ru,0.74,0.0,0.0,0.25,0.0
Gas Prices (Germany only),0.74,0.0,0.0,0.25,0.0
Extreme Rally Championship,0.74,0.0,0.0,0.25,0.0
Restart Navigator,0.74,0.0,0.0,0.25,0.0
"REG - Check the regnumber, find information about Swedish vehicles",0.74,0.0,0.0,0.25,0.0
CityBus Lviv,0.74,0.0,0.0,0.25,0.0
CDL Practice Test 2018 Edition,0.74,0.0,0.0,0.25,0.0
"ezETC (ETC balance inquiry, meter trial, real-time traffic)",0.74,0.0,0.0,0.25,0.0
Free VIN Report for Used Cars,0.74,0.0,0.0,0.25,0.0
DMV Permit Practice Test 2018 Edition,0.74,0.0,0.0,0.25,0.0
Check Vehicle Tax,0.74,0.0,0.0,0.25,0.0
Used Cars Mexico,0.74,0.0,0.0,0.25,0.0
Ulysse Speedometer,0.74,0.0,0.0,0.25,0.0
REPUVE,0.74,0.0,0.0,0.25,0.0
Used cars for sale - Trovit,0.74,0.0,0.0,0.25,0.0
"Fines of the State Traffic Safety Inspectorate are official: inspection, payment of fines",0.74,0.0,0.0,0.25,0.0
SK Enca Direct Malls - Used Cars Search,0.74,0.0,0.0,0.25,0.0
"Android Auto - Maps, Media, Messaging & Voice",0.74,0.0,0.33,0.25,0.0
PDD-UA,0.74,0.0,0.0,0.25,0.0
Tickets SDA 2019 + Exam RF,0.74,0.0,0.0,0.25,0.0
Super Cars Wallpapers And Backgrounds,0.74,0.0,0.0,0.25,0.0
"Police Lights, Sirens & Follow Me",0.74,0.0,0.0,0.25,0.0
Police Detector (Speed Camera Radar),0.74,0.0,0.67,0.25,0.0
Best Car Wallpapers,0.74,0.0,0.0,0.25,0.0
Tickets + PDA 2018 Exam,0.74,0.0,0.0,0.25,0.0
Pick Your Part Garage,0.74,0.0,0.0,0.25,0.0
PakWheels: Buy & Sell Cars,0.74,0.0,0.0,0.25,0.0
Supervision service,0.74,0.0,0.0,0.25,0.0
Speed Camera Detector - Traffic & Speed Alert,0.74,0.0,0.0,0.25,0.0
Used car search Goo net whole car Go to net,0.74,0.0,0.0,0.25,0.0
CarMax – Cars for Sale: Search Used Car Inventory,0.74,0.0,0.0,0.25,0.0
BEST CAR SOUNDS,0.74,0.0,0.0,0.25,0.0
RST - Sale of cars on the PCT,0.74,0.0,0.0,0.25,0.0
AutoScout24 Switzerland – Find your new car,0.74,0.0,0.0,0.25,0.0
Zona Azul Digital Fácil SP CET - OFFICIAL São Paulo,0.74,0.0,0.0,0.25,0.0
SMS Park,0.74,0.0,0.0,0.25,0.0
SKencar,0.74,0.0,0.0,0.25,0.0
Fuelio: Gas log & costs,0.74,0.0,0.0,0.25,0.0
auto fines,0.74,0.0,0.0,0.25,0.0
"Used car is the first car - used car purchase, used car quotation, dealer information to",0.74,0.0,0.0,0.25,0.0
All of the parking lot - National Park application (parking lot search / parking sharing / discount payment),0.74,0.0,0.0,0.25,0.0
Inquiry Fines and Debits of Vehicles,0.74,0.0,0.0,0.25,0.0
Gas Station,0.74,0.0,0.0,0.25,0.0
Hush - Beauty for Everyone,0.97,0.0,0.0,0.31,0.0
"ipsy: Makeup, Beauty, and Tips",0.97,0.0,0.0,0.31,0.0
Natural recipes for your beauty,0.97,0.0,0.0,0.31,0.0
"BestCam Selfie-selfie, beauty camera, photo editor",0.97,0.0,0.0,0.31,0.0
Mirror - Zoom & Exposure -,0.97,0.0,0.0,0.31,0.0
Beauty Selfie Camera,0.97,0.0,0.0,0.31,0.0
Hairstyles step by step,0.97,0.0,0.0,0.31,0.0
Filters for Selfie,0.97,0.0,0.0,0.31,0.0
Tie - Always be happy,0.97,0.0,0.0,0.31,0.0
Ulta Beauty,0.97,0.0,0.0,0.31,0.0
Prom MakeUp Tutorial,0.97,0.0,0.0,0.31,0.0
Selfie Camera,0.97,0.0,0.0,0.31,0.0
Sweet Selfie Beauty Camera,0.97,0.0,0.0,0.31,0.0
Colors of white in Urdu,0.97,0.0,0.0,0.31,0.0
Selfie Camera Photo Editor & Filter & Sticker,0.97,0.0,0.33,0.31,0.0
Wrinkles and rejuvenation,0.97,0.0,0.67,0.31,0.0
Eyes Makeup Beauty Tips,0.97,0.0,0.0,0.31,0.0
Photo Editor 2018,0.97,0.0,0.0,0.31,0.0
Step By Step Eyes Makeup Tutorial,0.97,0.0,0.0,0.31,0.0
Beauty Camera - Selfie Camera,0.97,0.0,0.0,0.31,0.0
Girls Hairstyles,0.97,0.0,0.0,0.31,0.0
Mirror Camera (Mirror + Selfie Camera),0.97,0.0,0.0,0.31,0.0
Beauty Tips - Beauty Tips in Sinhala,0.97,0.0,0.0,0.31,0.0
Haircut Tutorials/Haircut Videos,0.97,0.0,0.0,0.31,0.0
"Sephora: Skin Care, Beauty Makeup & Fragrance Shop",0.97,0.0,0.0,0.31,0.0
Manicure - nail design,0.97,0.0,0.0,0.31,0.0
"Sticker Camera - Selfie Filters, Beauty Camera",0.97,0.0,0.0,0.31,0.0
Filters for B Live,0.97,0.0,0.0,0.31,0.0
Skin Care and Natural Beauty,0.97,0.0,0.33,0.31,0.0
Facial Wrinkle Reduction,0.97,0.0,0.0,0.31,0.0
Makeup Videos,0.97,0.0,0.0,0.31,0.0
Recipes and tips for losing weight,0.97,0.0,0.67,0.31,0.0
Discover Color,0.97,0.0,0.0,0.31,0.0
Eyeliner step by step 2018,0.97,0.0,0.0,0.31,0.0
Step By Step Hairstyles For Women,0.97,0.0,0.0,0.31,0.0
Rainbow Camera,0.97,0.0,0.0,0.31,0.0
Methods of teeth whitening,0.97,0.0,0.0,0.31,0.0
Girls hairstyles 2018,0.97,0.0,0.0,0.31,0.0
Wattpad 📖 Free Books,0.45,0.0,0.33,0.13,0.0
E-Book Read - Read Book for free,0.45,0.0,0.0,0.13,0.0
Download free book with green book,0.45,0.0,0.67,0.13,0.0
Wikipedia,0.45,0.0,0.0,0.13,0.0
Amazon Kindle,0.45,0.0,0.33,0.13,0.0
Cool Reader,0.45,0.0,0.0,0.13,0.0
Dictionary - Merriam-Webster,0.45,0.0,0.0,0.13,0.0
NOOK: Read eBooks & Magazines,0.45,0.0,0.33,0.13,0.0
Free Panda Radio Music,0.45,0.0,0.0,0.13,0.0
Book store,0.45,0.0,0.33,0.13,0.0
FBReader: Favorite Book Reader,0.45,0.0,0.0,0.13,0.0
English Grammar Complete Handbook,0.45,0.0,0.0,0.13,0.0
Free Books - Spirit Fanfiction and Stories,0.45,0.0,0.33,0.13,0.0
Google Play Books,0.45,0.0,0.33,0.13,0.0
AlReader -any text book reader,0.45,0.0,0.0,0.13,0.0
Offline English Dictionary,0.45,0.0,0.0,0.13,0.0
Oxford Dictionary of English : Free,0.45,0.0,0.0,0.13,0.0
Offline: English to Tagalog Dictionary,0.45,0.0,0.0,0.13,0.0
Spanish English Translator,0.45,0.0,0.33,0.13,0.0
FamilySearch Tree,0.45,0.0,0.0,0.13,0.0
Cloud of Books,0.45,0.0,0.0,0.13,0.0
Recipes of Prophetic Medicine for free,0.45,0.0,0.0,0.13,0.0
ReadEra – free ebook reader,0.45,0.0,0.0,0.13,0.0
NOOK App for NOOK Devices,0.45,0.0,0.0,0.13,0.0
Anonymous caller detection,0.45,0.0,0.0,0.13,0.0
Ebook Reader,0.45,0.0,0.0,0.13,0.0
Litnet - E-books,0.45,0.0,0.33,0.13,0.0
English to Urdu Dictionary,0.45,0.0,0.0,0.13,0.0
eBoox: book reader fb2 epub zip,0.45,0.0,0.0,0.13,0.0
English Persian Dictionary,0.45,0.0,0.0,0.13,0.0
All Maths Formulas,0.45,0.0,0.0,0.13,0.0
Ancestry,0.45,0.0,0.0,0.13,0.0
HTC Help,0.45,0.0,0.0,0.13,0.0
English translation from Bengali,0.45,0.0,0.0,0.13,0.0
Pdf Book Download - Read Pdf Book,0.45,0.0,0.0,0.13,0.0
Free Book Reader,0.45,0.0,0.0,0.13,0.0
eBoox new: Reader for fb2 epub zip books,0.45,0.0,0.0,0.13,0.0
"Only 30 days in English, the guideline is guaranteed",0.45,0.0,0.0,0.13,0.0
Moon+ Reader,0.45,0.0,0.0,0.13,0.0
SH-02J Owner's Manual (Android 8.0),0.45,0.0,0.0,0.13,0.0
English-Myanmar Dictionary,0.45,0.0,0.0,0.13,0.0
Golden Dictionary (EN-AR),0.45,0.0,0.0,0.13,0.0
All Language Translator Free,0.45,0.0,0.0,0.13,0.0
Azpen eReader,0.45,0.0,0.0,0.13,0.0
URBANO V 02 instruction manual,0.45,0.0,0.0,0.13,0.0
English Dictionary - Offline,0.45,0.0,0.67,0.13,0.0
Visual Voicemail by MetroPCS,0.1,0.0,0.0,0.03,0.0
Indeed Job Search,0.1,0.0,0.0,0.03,0.0
Uber Driver,0.1,0.0,0.0,0.03,0.0
ADP Mobile Solutions,0.1,0.0,0.0,0.03,0.0
Snag - Jobs Hiring Now,0.1,0.0,0.0,0.03,0.0
Docs To Go™ Free Office Suite,0.1,0.0,0.0,0.03,0.0
Google My Business,0.1,0.0,0.0,0.03,0.0
OfficeSuite : Free Office + PDF Editor,0.1,0.0,0.0,0.03,0.0
USPS MOBILE®,0.1,0.0,0.0,0.03,0.0
Job Search by ZipRecruiter,0.1,0.0,0.0,0.03,0.0
Curriculum vitae App CV Builder Free Resume Maker,0.1,0.0,0.0,0.03,0.0
Google Primer,0.1,0.0,0.0,0.03,0.0
Alba Heaven - Alvarez Job Portal Services,0.1,0.0,0.0,0.03,0.0
SuperLivePro,0.1,0.0,0.0,0.03,0.0
Facebook Pages Manager,0.1,0.0,0.0,0.03,0.0
OfficeSuite Pro + PDF (Trial),0.1,0.0,0.0,0.03,0.0
My Space - Employment Center,0.1,0.0,0.0,0.03,0.0
Box,0.1,0.0,0.0,0.03,0.0
Polaris Office for LG,0.1,0.0,0.0,0.03,0.0
Call Blocker,0.1,0.0,0.0,0.03,0.0
Jobs in Alabama - Jobs in Alba,0.1,0.0,0.0,0.03,0.0
Square Point of Sale - POS,0.1,0.0,0.0,0.03,0.0
Plugin:AOT v5.0,0.1,0.0,0.0,0.03,0.0
Kariyer.net,0.1,0.0,0.0,0.03,0.0
SEEK Job Search,0.1,0.0,0.0,0.03,0.0
Become a Job - Find a job or advertise,0.1,0.0,0.0,0.03,0.0
ZOOM Cloud Meetings,0.1,0.0,0.0,0.03,0.0
Easy Installer - Apps On SD,0.1,0.0,0.0,0.03,0.0
Facebook Ads Manager,0.1,0.0,0.0,0.03,0.0
"IndiaMART: Search Products, Buy, Sell & Trade",0.1,0.0,0.0,0.03,0.0
ViettelPost express delivery,0.1,0.0,0.0,0.03,0.0
MyASUS - Service Center,0.1,0.0,0.0,0.03,0.0
Job Korea - Career Jobs,0.1,0.0,0.0,0.03,0.0
"104 Looking for a job - looking for a job, looking for a job, looking for a part-time job, health checkup, resume, treatment room",0.1,0.0,0.0,0.03,0.0
Myanmar 2D/3D,0.1,0.0,0.0,0.03,0.0
Quick PDF Scanner + OCR FREE,0.1,0.0,0.0,0.03,0.0
sABN,0.1,0.0,0.0,0.03,0.0
ATI Cargoes and Transportation,0.1,0.0,0.0,0.03,0.0
Secure Folder,0.1,0.0,0.0,0.03,0.0
UPS Mobile,0.1,0.0,0.0,0.03,0.0
Y! Mobile menu,0.1,0.0,0.0,0.03,0.0
SignEasy | Sign and Fill PDF and other Documents,0.1,0.0,0.0,0.03,0.0
Genius Scan - PDF Scanner,0.1,0.0,0.0,0.03,0.0
Tiny Scanner - PDF Scanner App,0.1,0.0,0.0,0.03,0.0
Fast Scanner : Free PDF Scan,0.1,0.0,0.0,0.03,0.0
Mobile Doc Scanner (MDScan) Lite,0.1,0.0,0.0,0.03,0.0
TurboScan: scan documents and receipts in PDF,0.1,1.0,0.0,0.03,0.012475
Tiny Scanner Pro: PDF Doc Scan,0.1,1.0,0.0,0.03,0.012475
Zenefits,0.1,0.0,0.0,0.03,0.0
Google Ads,0.1,0.0,0.0,0.03,0.0
Slack,0.1,0.0,0.0,0.03,0.0
FreshBooks Classic,0.1,0.0,0.0,0.03,0.0
Insightly CRM,0.1,0.0,0.0,0.03,0.0
QuickBooks Accounting: Invoicing & Expenses,0.1,0.0,0.0,0.03,0.0
HipChat - Chat Built for Teams,0.1,0.0,0.0,0.03,0.0
Xero Accounting Software,0.1,0.0,0.0,0.03,0.0
"MailChimp - Email, Marketing Automation",0.1,0.0,0.0,0.03,0.0
Crew - Free Messaging and Scheduling,0.1,0.0,0.0,0.03,0.0
Asana: organize team projects,0.1,0.0,0.0,0.03,0.0
Google Analytics,0.1,0.0,0.0,0.03,0.0
AdWords Express,0.1,0.0,0.0,0.03,0.0
Accounting App - Zoho Books,0.1,0.0,0.0,0.03,0.0
Invoice & Time Tracking - Zoho,0.1,0.0,0.0,0.03,0.0
join.me - Simple Meetings,0.1,0.0,0.0,0.03,0.0
Invoice 2go — Professional Invoices and Estimates,0.1,0.0,0.0,0.03,0.0
Cisco Webex Meetings,0.1,0.0,0.0,0.03,0.0
ScreenMeet. Easy Phone Meeting,0.1,0.0,0.0,0.03,0.0
Cisco Webex Teams,0.1,0.0,0.0,0.03,0.0
Microsoft Remote Desktop,0.1,0.0,0.0,0.03,0.0
Start Meeting,0.1,0.0,0.0,0.03,0.0
ClickMeeting Webinars,0.1,0.0,0.0,0.03,0.0
BlueJeans for Android,0.1,0.0,0.0,0.03,0.0
Skype for Business for Android,0.1,0.0,0.0,0.03,0.0
Verify - Receipts & Expenses,0.1,0.0,0.0,0.03,0.0
LINE WEBTOON - Free Comics,1.0,0.0,0.33,0.32,0.0
GANMA! - All original stories free of charge for all original comics,1.0,0.0,0.33,0.32,0.0
Röhrich Werner Soundboard,1.0,0.0,0.0,0.32,0.0
Unicorn Pokez - Color By Number,1.0,0.0,0.0,0.98,0.0
Manga Rock - Best Manga Reader,1.0,0.0,0.33,0.32,0.0
Manga - read Thai translation,1.0,0.0,0.33,0.32,0.0
The Vietnam Story - Fun Stories,1.0,0.0,0.0,0.32,0.0
Dragon Ball Wallpaper - Ringtones,1.0,0.0,0.0,0.32,0.0
Funny Jokes Photos,1.0,0.0,0.67,0.32,0.0
Truyện Vui Tý Quậy,1.0,0.0,0.0,0.32,0.0
Comic Es - Shojo manga / love comics free of charge ♪ ♪,1.0,0.0,0.33,0.32,0.0
comico Popular Original Cartoon Updated Everyday Comico,1.0,0.0,0.33,0.32,0.0
Emmanuella Funny Videos 2018,1.0,0.0,0.0,0.32,0.0
DC Comics,1.0,0.0,0.33,0.32,0.0
Manga Zero - Japanese cartoon and comic reader,1.0,0.0,0.33,0.32,0.0
Marvel Unlimited,1.0,0.0,0.33,0.32,0.0
"Tapas – Comics, Novels, and Stories",1.0,0.0,0.33,0.32,0.0
Children's cartoons (Mithu-Mina-Raju),1.0,0.0,0.0,0.32,0.0
Narrator's Voice,1.0,0.0,0.0,0.32,0.0
【Ranobbe complete free】 Novelba - Free app that you can read and write novels,1.0,0.0,0.0,0.32,0.0
Faustop Sounds,1.0,0.0,0.0,0.32,0.0
Manga Mania - Best online manga reader,1.0,0.0,0.33,0.32,0.0
Manga AZ - Manga Comic Reader,1.0,0.0,0.33,0.32,0.0
Buff Thun - Daily Free Webtoon / Comics / Web Fiction / Mini Game,1.0,0.0,0.67,0.32,0.0
Funny Jokes and Stories 2018,1.0,0.0,0.0,0.32,0.0
Hojiboy Tojiboyev Life Hacks,1.0,0.0,0.0,0.32,0.0
Perfect Viewer,1.0,0.0,0.0,0.32,0.0
"Best Wallpapers Backgrounds(100,000+ 4K HD)",1.0,0.0,0.33,0.32,0.0
think Comics,1.0,0.0,0.0,0.32,0.0
Memes Button,1.0,0.0,0.0,0.32,0.0
"Laftel - Watching and Announcing Snooping, Streaming",1.0,0.0,0.0,0.32,0.0
Messenger – Text and Video Chat for Free,0.32,0.0,0.0,0.09,0.0
WhatsApp Messenger,0.32,0.0,0.0,0.09,0.0
Messenger for SMS,0.32,0.0,0.33,0.09,0.0
Google Chrome: Fast & Secure,0.32,0.0,0.0,0.09,0.0
Messenger Lite: Free Calls & Messages,0.32,0.0,0.0,0.09,0.0
Gmail,0.32,0.0,0.0,0.09,0.0
Hangouts,0.32,0.0,0.0,0.09,0.0
Viber Messenger,0.32,0.0,0.0,0.09,0.0
My Tele2,0.32,0.0,0.0,0.09,0.0
Firefox Browser fast & private,0.32,0.0,0.0,0.09,0.0
Yahoo Mail – Stay Organized,0.32,0.0,0.0,0.09,0.0
imo beta free calls and text,0.32,0.0,0.0,0.09,0.0
imo free video calls and chat,0.32,0.0,0.0,0.09,0.0
Contacts,0.32,0.0,0.0,0.09,0.0
Call Free – Free Call,0.32,0.0,0.0,0.09,0.0
Web Browser & Explorer,0.32,0.0,0.0,0.09,0.0
Opera Mini - fast web browser,0.32,0.0,0.0,0.09,0.0
Browser 4G,0.32,0.0,0.0,0.09,0.0
MegaFon Dashboard,0.32,0.0,0.0,0.09,0.0
ZenUI Dialer & Contacts,0.32,0.0,0.0,0.09,0.0
Cricket Visual Voicemail,0.32,0.0,0.0,0.09,0.0
Opera Browser: Fast and Secure,0.32,0.0,0.0,0.09,0.0
TracFone My Account,0.32,0.0,0.0,0.09,0.0
Firefox Focus: The privacy browser,0.32,0.0,0.0,0.09,0.0
Google Voice,0.32,0.0,0.0,0.09,0.0
Chrome Dev,0.32,0.0,0.0,0.09,0.0
Xperia Link™,0.32,0.0,0.0,0.09,0.0
Who,0.32,0.0,0.33,0.09,0.0
Skype Lite - Free Video Call & Chat,0.32,0.0,0.0,0.09,0.0
WeChat,0.32,0.0,0.0,0.09,0.0
UC Browser Mini -Tiny Fast Private & Secure,0.32,0.0,0.33,0.09,0.0
WhatsApp Business,0.32,0.0,0.0,0.09,0.0
My magenta,0.32,0.0,0.0,0.09,0.0
Android Messages,0.32,0.0,0.0,0.09,0.0
Google Duo - High Quality Video Calls,0.32,0.0,0.0,0.09,0.0
Puffin Web Browser,0.32,0.0,0.0,0.09,0.0
Seznam.cz,0.32,0.0,0.0,0.09,0.0
Antillean Gold Telegram (original version),0.32,0.0,0.0,0.09,0.0
AT&T Visual Voicemail,0.32,0.0,0.0,0.09,0.0
GMX Mail,0.32,0.0,0.0,0.09,0.0
Omlet Chat,0.32,0.0,0.33,0.09,0.0
UC Browser - Fast Download Private & Secure,0.32,0.0,0.33,0.09,0.0
My Vodacom SA,0.32,0.0,0.0,0.09,0.0
Microsoft Edge,0.32,0.0,0.0,0.09,0.0
Hangouts Dialer - Call Phones,0.32,0.0,0.0,0.09,0.0
"Talkatone: Free Texts, Calls & Phone Number",0.32,0.0,0.0,0.09,0.0
Calls & Text by Mo+,0.32,0.0,0.0,0.09,0.0
free video calls and chat,0.32,0.0,0.0,0.09,0.0
Skype - free IM & video calls,0.32,0.0,0.0,0.09,0.0
"GO SMS Pro - Messenger, Free Themes, Emoji",0.32,0.0,0.0,0.09,0.0
"Messaging+ SMS, MMS Free",0.32,0.0,0.0,0.09,0.0
chomp SMS,0.32,0.0,0.0,0.09,0.0
Glide - Video Chat Messenger,0.32,0.0,0.0,0.09,0.0
Text SMS,0.32,0.0,0.0,0.09,0.0
Google Allo,0.32,0.0,0.0,0.09,0.0
Talkray - Free Calls & Texts,0.32,0.0,0.0,0.09,0.0
LINE: Free Calls & Messages,0.32,0.0,0.0,0.09,0.0
GroupMe,0.32,0.0,0.0,0.09,0.0
mysms SMS Text Messaging Sync,0.32,0.0,0.0,0.09,0.0
BBM - Free Calls & Messages,0.32,0.0,0.0,0.09,0.0
KakaoTalk: Free Calls & Text,0.32,0.0,0.0,0.09,0.0
2ndLine - Second Phone Number,0.32,0.0,0.0,0.09,0.0
"CM Browser - Ad Blocker , Fast Download , Privacy",0.32,0.0,0.0,0.09,0.0
Ninesky Browser,0.32,0.0,0.0,0.09,0.0
"Dolphin Browser - Fast, Private & Adblock🐬",0.32,0.0,0.0,0.09,0.0
Ghostery Privacy Browser,0.32,0.0,0.0,0.09,0.0
InBrowser - Incognito Browsing,0.32,0.0,0.0,0.09,0.0
Web Browser for Android,0.32,0.0,0.0,0.09,0.0
DU Browser—Browse fast & fun,0.32,0.0,0.0,0.09,0.0
Lightning Web Browser,0.32,0.0,0.0,0.09,0.0
Web Browser,0.32,0.0,0.0,0.09,0.0
Puffin Browser Pro,0.32,1.0,0.0,0.09,0.009975
Contacts+,0.32,0.0,0.0,0.09,0.0
ExDialer - Dialer & Contacts,0.32,0.0,0.0,0.09,0.0
PHONE for Google Voice & GTalk,0.32,0.0,0.0,0.09,0.0
Safest Call Blocker,0.32,0.0,0.0,0.09,0.0
Full Screen Caller ID,0.32,0.0,0.0,0.09,0.0
Should I Answer?,0.32,0.0,0.0,0.09,0.0
RocketDial Dialer & Contacts,0.32,0.0,0.0,0.09,0.0
"CallApp: Caller ID, Blocker & Phone Call Recorder",0.32,0.0,0.0,0.09,0.0
Whoscall - Caller ID & Block,0.32,0.0,0.0,0.09,0.0
CIA - Caller ID & Call Blocker,0.32,0.0,0.0,0.09,0.0
Calls Blacklist - Call Blocker,0.32,0.0,0.0,0.09,0.0
Call Control - Call Blocker,0.32,0.0,0.0,0.09,0.0
True Contact - Real Caller ID,0.32,0.0,0.0,0.09,0.0
Video Caller Id,0.32,0.0,0.0,0.09,0.0
Sync.ME – Caller ID & Block,0.32,0.0,0.0,0.09,0.0
Burner - Free Phone Number,0.32,0.0,0.0,0.09,0.0
"Truecaller: Caller ID, SMS spam blocking & Dialer",0.32,0.0,0.0,0.09,0.0
Caller ID +,0.32,0.0,0.0,0.09,0.0
K-9 Mail,0.32,0.0,0.0,0.09,0.0
"myMail – Email for Hotmail, Gmail and Outlook Mail",0.32,0.0,0.0,0.09,0.0
Email TypeApp - Mail App,0.32,0.0,0.0,0.09,0.0
All Email Providers,0.32,0.0,0.0,0.09,0.0
"Newton Mail - Email App for Gmail, Outlook, IMAP",0.32,0.0,0.0,0.09,0.0
GO Notifier,0.32,0.0,0.0,0.09,0.0
Mail.Ru - Email App,0.32,0.0,0.0,0.09,0.0
Mail1Click - Secure Mail,0.32,0.0,0.0,0.09,0.0
Daum Mail - Next Mail,0.32,0.0,0.0,0.09,0.0
mail.com mail,0.32,0.0,0.0,0.09,0.0
SolMail - All-in-One email app,0.32,0.0,0.0,0.09,0.0
Vonage Mobile® Call Video Text,0.32,0.0,0.0,0.09,0.0
JusTalk - Free Video Calls and Fun Video Chat,0.32,0.0,0.0,0.09,0.0
Duolingo: Learn Languages Free,0.65,0.0,0.0,0.39,0.0
TED,0.65,0.0,0.67,0.02,0.0
English Communication - Learn English for Chinese (Learn English for Chinese),0.65,0.0,0.0,0.02,0.0
Khan Academy,0.65,0.0,0.0,0.02,0.0
Learn English with Wlingua,0.65,0.0,0.0,0.02,0.0
Ai La Trieu Phu - ALTP Free,0.65,0.0,0.0,0.02,0.0
Learn Spanish - Español,0.65,0.0,0.0,0.02,0.0
English Grammar Test,0.65,0.0,0.0,0.02,0.0
Speed Reading,0.65,0.0,0.0,0.02,0.0
English for beginners,0.65,0.0,0.0,0.02,0.0
Flame - درب عقلك يوميا,0.65,0.0,0.0,0.02,0.0
"Learn Japanese, Korean, Chinese Offline & Free",0.65,0.0,0.0,0.39,0.0
Kids Mode,0.65,0.0,0.0,0.02,0.0
Dinosaurs Coloring Pages,0.65,0.0,0.0,0.39,0.0
Babbel – Learn Languages,0.65,0.0,0.0,0.02,0.0
Math Tricks,0.65,0.0,0.0,0.02,0.0
Learn English Words Free,0.65,0.0,0.0,0.02,0.0
English speaking texts,0.65,0.0,0.0,0.02,0.0
Thai Handwriting,0.65,0.0,0.0,0.02,0.0
Game for KIDS: KIDS match'em,0.65,0.0,0.0,0.02,0.0
Flippy Campus - Buy & sell on campus at a discount,0.65,0.0,0.0,0.02,0.0
Free intellectual training game application |,0.65,0.0,0.0,0.42,0.0
ABC Preschool Free,0.65,0.0,0.0,0.39,0.0
PINKFONG Baby Shark,0.65,0.0,0.0,0.02,0.0
English words application mikan,0.65,0.0,0.0,0.02,0.0
Learn English for beginners,0.65,0.0,0.0,0.02,0.0
Listen and learn English in seven days,0.65,0.0,0.0,0.02,0.0
Lumosity: #1 Brain Games & Cognitive Training App,0.65,0.0,0.0,0.02,0.0
